club_id,address,city,phone
1,"ул. Вильгельма Пика, вл14, 4 этаж (МФК «Хуамин»)",Москва,+7 (495) 135-09-10
2,"ул. Архитектора Власова, 22",Москва,+7 (495) 135-09-12
3,"Каширское шоссе, 61Г",Москва,+7 (495) 135-09-11
4,"ул. Климашкина, 17с2",Москва,+7 (495) 135-08-10
5,"Пулковское ш., 35, ТРК Масштаб",Санкт-Петербург,+7 (812) 610-06-06
6,"пл. Карла Фаберже, 8, литера Е",Санкт-Петербург,+7 (812) 610-06-04
7,"ул. Коллонтай, 31, литера А, корп.1",Санкт-Петербург,+7 (812) 610-06-10
8,"ул. Ю. Фучика, д. 90",Казань,+7 (843) 526-11-26
